clus,pois,latitude,longitude,time,categories
0,Arco_di_Tito,41.89055556,12.48833333,277.8631579,romar.xcampitelli;archiantichidiroma
1,Circo_Massimo,41.885905,12.485704,446.9189189,circhidiroma;romar.xiiripa
2,Museo_di_arte_contemporanea_(Roma),41.912825,12.50221667,1166.219512,romaq.ivsalario;museidiroma
3,Isola_Tiberina,41.89083333,12.47722222,373.5,isolefluviali;romar.xiiripa
4,Basilica_di_Santa_Maria_Maggiore,41.8975,12.49861111,563.6270492,architetturebarocchediroma;disposizionifonichediorganiacanne;architettureantichediroma;basilichediroma;chiesediroma
5,Tempio_di_Portuno;Foro_Boario;Tempio_di_Ercole_Vincitore,41.88888889,12.48111111,240,romar.xiiripa;romar.xiiripa;romar.xiiripa;templiantichidiroma;suddivisioniequartieriantichidiroma;foridiroma;templiantichidiroma
6,Gianicolo,41.89166667,12.46111111,684.5471698,collidiroma;romar.xiiitrastevere
7,Regia_(Roma);Arco_di_Settimio_Severo;Comizio;Carcere_Mamertino;Rostri;Colonna_Menia;Basi_di_monumenti_onorari_nel_Foro_romano;Colonna_rostrata_di_Gaio_Duilio;Volcanale;Arco_di_Tiberio;Basilica_Opimia;Statua_equestre_di_Domiziano;Fonte_di_Giuturna;Tempio_dei_Dioscuri;Statio_aquarum;Oratorio_dei_Quaranta_Martiri;Gruppo_di_edifici_domizianei_nel_Foro_Romano;Horrea_Agrippiana;Fornix_Fabianus;Atrium_Libertatis;Basilica_Argentaria;Basilica_Giulia;Basilica_Emilia;Curia_Hostilia;Porta_Fontinalis;Tempio_di_Iside_(Campidoglio);Colonna_di_Foca;Tempio_del_Divo_Romolo;Basilica_dei_Santi_Cosma_e_Damiano;Casa_delle_Vestali;Foro_di_Cesare;Curia_Iulia;Foro_Romano;Curia_(storia_di_Roma);Tempio_del_Divo_Giulio;Tempio_di_Vesta;Tempio_di_Saturno;Tempio_di_Venere_Genitrice;Sacello_di_Venere_Cloacina;Via_Sacra;Miliario_aureo;Tempio_di_Giano;Basilica_Porcia;Basilica_Sempronia;Tempio_di_Augusto;Tempio_di_Vespasiano;Umbilicus_Urbis_Romae;Giunio_Valentino;Portico_degli_Dei_Consenti;Scale_Gemonie;Clivus_Argentarius;Arco_di_Augusto_(Foro_Romano);Chiesa_di_Santa_Maria_Antiqua;Necropoli_del_tempio_di_Antonino_Pio_e_Faustina;Lacus_Curtius;Tempio_di_Antonino_e_Faustina,41.891895,12.485994,647.7789985,foridiroma;romar.xcampitelli;carceridiroma;romar.xcampitelli;edificidicultodedicatiamaria;archiantichidiroma;architetturescomparsediroma;basilichedelfororomano;romar.xcampitelli;archiantichidiroma;templidelfororomano;foridiroma;architetturescomparsediroma;romar.xcampitelli;romar.xcampitelli;edificipubbliciromani;architettureantichediroma;fontanediroma;romar.xcampitelli;templidelfororomano;romar.xcampitelli;archiantichidiroma;romar.xcampitelli;romar.xcampitelli;museidiroma;foridiroma;foridiroma;templidelfororomano;romar.xcampitelli;templiantichidiroma;templiantichidiroma;foridiroma;architetturescomparsediroma;templidelfororomano;romar.xcampitelli;sculturearoma;romar.xcampitelli;chiesesconsacratediroma;architetturescomparsediroma;architetturescomparsediroma;romar.xcampitelli;foridiroma;templidelfororomano;architetturescomparsediroma;templidelfororomano;templidelfororomano;romar.xcampitelli;porticiantichidiroma;romar.xcampitelli;basilichedelfororomano;necropolidiroma;architetturescomparsediroma;romar.xcampitelli;basilichedelfororomano;romar.xcampitelli;sitiarcheologicidiroma;stradediroma;foridiroma;templidelfororomano;romar.xcampitelli;colonnediroma;archiantichidiroma;romar.xcampitelli;foridiroma;romar.xcampitelli;chiesediroma;architetturescomparsediroma;romar.xcampitelli;foridiroma;romar.xcampitelli;foridiroma;foridiroma;foridiroma;foridiroma;romar.xcampitelli;colonnediroma;basilicheminoridiroma;edificicommercialiantichidiroma;foridiroma;templidelfororomano;foridiroma;chiesenelfororomano;romar.xcampitelli;romar.xcampitelli;architetturescomparsediroma;romar.xcampitelli;chiesediroma;basilichedelfororomano;foridiroma;romar.xcampitelli;foridiroma;colonnediroma;romar.xcampitelli;romar.xcampitelli;architetturescomparsediroma;romar.xcampitelli;monumentidiroma;romar.xcampitelli;romar.xcampitelli;chiesediroma;basilichedelfororomano;templidelfororomano;foridiroma;romar.xcampitelli;stradeantichediroma;foridiroma;romar.xcampitelli;chiesetitolaridiroma;romar.xcampitelli;foridiroma;romar.xcampitelli;romar.xcampitelli;porcii;romar.xcampitelli;architettureantichediroma;colonnediroma;ritrattiimperialiromani;stradeantichediroma;romar.xcampitelli;stradeantichediroma;praefectiurbi;architetturescomparsediroma;colonnediroma;romar.xcampitelli;monumentidiroma;romar.xcampitelli;templidelfororomano;iunii;architetturescomparsediroma;archiantichidiroma;chiesesconsacratediroma;romar.xcampitelli;foridiroma;romar.xcampitelli;muradiroma;basilicheantichediroma;chiesenelfororomano;foridiroma;romar.xcampitelli;architetturescomparsediroma;romar.xcampitelli
8,Palazzo_della_Civiltà_Italiana,41.83669996,12.46542692,576.0136986,palazzidiroma;architetturediroma
9,Basilica_di_Sant'Andrea_della_Valle,41.8960638,12.4743,346.5466102,chiesetitolaridiroma;basilichediroma;chiesediroma;disposizionifonichediorganiacanne;chiesediromadelxviisecolo;architetturerinascimentalidiroma;architetturebarocchediroma
