id;name;latitude;longitude
1;Arco_di_Tito;41.8905555556;12.4883333333
2;Circo_Massimo;41.885905;12.485704
3;Pantheon_(Roma);41.8986;12.4768
4;Basilica_di_San_Pietro_in_Vaticano;41.9022222222;12.4533333333
5;Scale_Gemonie;41.8933333333;12.4847222222
6;Aventino;41.8833333333;12.4833333333
7;Esquilino;41.8955555556;12.4966666667
8;Viminale_(colle);41.8991666667;12.4941666667
9;Quirinale_(colle);41.9011111111;12.4883333333
10;Domus_Aurea;41.8913888889;12.4952777778
11;Museo_di_arte_contemporanea_(Roma);41.912825;12.5022166667
12;Auditorium_Parco_della_Musica;41.92907;12.47455
13;Piazza_del_Popolo_(Roma);41.9105555556;12.4763888889
14;Vittoriano;41.894599;12.483092
15;Campo_de'_Fiori;41.8956;12.4721666667
16;Monte_Mario;41.925;12.4516666667
17;Villa_Borghese;41.91291;12.4845
18;Palazzo_Montecitorio;41.9013888889;12.4786111111
19;Sapienza_Università_di_Roma;41.9033333333;12.5158333333
20;Università_degli_Studi_di_Roma_"Tor_Vergata";41.8536111111;12.6033333333
21;Foro_di_Traiano;41.8955555556;12.4858333333
22;Colonna_Traiana;41.8958333333;12.4841666667
23;Arco_di_Costantino;41.8897222222;12.4908333333
24;Curia_(storia_di_Roma);41.8929527778;12.4854027778
25;Fontana_della_Barcaccia;41.9058333333;12.4822916667
26;Fontana_dei_Quattro_Fiumi;41.8988888889;12.4730555556
27;Stadio_Olimpico_(Roma);41.9338861111;12.4547861111
28;Biblioteca_Apostolica_Vaticana;41.9047222222;12.4544444444
29;Suburra;41.8966666667;12.4966666667
30;Ponte_Rotto;41.8894444444;12.4794444444
31;Ponte_dei_Quattro_Capi;41.8911111111;12.4783333333
32;Ponte_Cestio;41.8902222222;12.4772222222
33;Ponte_Sant'Angelo;41.9016666667;12.4664583333
34;Terme_di_Caracalla;41.87944;12.49305
35;Ara_Pacis;41.9063888889;12.4755555556
36;Tempio_di_Saturno;41.8924305556;12.48415
37;Antico_Caffè_Greco;41.90555;12.48143
38;Policlinico_Agostino_Gemelli;41.9302777778;12.4297222222
39;Porta_Pia;41.9091666667;12.5011111111
40;Domus_Sanctae_Marthae;41.9005555556;12.4533333333
41;Celio;41.885;12.4966666667
42;Piazza_Navona;41.8988888889;12.4730555556
43;Stazione_di_Roma_Termini;41.9008333333;12.5019444444
44;Eccidio_delle_Fosse_Ardeatine;41.8566666667;12.5102777778
45;Palazzo_Madama_(Roma);41.899191;12.474278
